,precision,recall,f1-score,support
0,0.9993806771263418,0.9960905349794239,0.9977328936521023,4860.0
1,1.0,1.0,1.0,243.0
2,1.0,0.995,0.9974937343358395,200.0
3,0.9918293236495688,1.0,0.995897903372835,2185.0
4,1.0,0.9995131450827653,0.9997565132700268,2054.0
5,0.9995152690256908,1.0,0.9997575757575757,2062.0
6,1.0,0.9995265151515151,0.9997632015155103,2112.0
7,1.0,0.9995121951219512,0.9997560380580629,2050.0
8,0.99949924887331,0.998998998998999,0.9992490613266584,1998.0
9,0.9995034756703078,0.9995034756703078,0.9995034756703078,2014.0
10,0.9995032290114257,0.9985111662531018,0.9990069513406157,2015.0
11,0.9951004409603136,0.996076508092202,0.9955882352941177,2039.0
12,0.9980119284294234,0.9990049751243781,0.9985082048731975,2010.0
13,1.0,1.0,1.0,2900.0
14,1.0,1.0,1.0,2818.0
accuracy,0.9987642585551331,0.9987642585551331,0.9987642585551331,0.9987642585551331
macro avg,0.9988229061830921,0.9987825009649763,0.9988009192311231,31560.0
weighted avg,0.9987690091478904,0.9987642585551331,0.9987649500322057,31560.0
